DOMAIN,LOADING_TYPE_DESCRIPTION,EXPLANATION,DETAILS
mheducation.com,['PIXEL_GTM'],Pixel loads after second action,
ex.co,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
infomaniak.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
nokia.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
ask.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
ovhcloud.com,['PIXEL_IN_OTHER_TP'],Loads Pixel on Accept Cookies,
outlookindia.com,['PIXEL_CORE'],Pixel loads after second action,subscription sub-page
axis.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
hihonor.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),buy product sub-page after region selection
pitt.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),donation sub-page
splunkcloud.com,['PIXEL_GTM'],Loads Pixel on homepage,insecure connection warning on the browser
apptentive.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
qnap.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
smugmug.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
celtra.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
seattletimes.com,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
mcgill.ca,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
over-blog.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
home.pl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
bankrate.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
sportradarserving.com,['PIXEL_GTM'],Loads Pixel on homepage,
vanderbilt.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),admissions sub-page
nazwa.pl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
justgiving.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
lnk.to,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
spreaker.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
depositphotos.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
pagesix.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
clickpetroleoegas.com.br,['PIXEL_CORE'],Loads Pixel on homepage,
blackberry.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
